
2025/01/07 (20:04:47) | ===> btop++ v.1.4.0
2025/01/07 (20:04:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (20:24:53) | ===> btop++ v.1.4.0
2025/01/07 (20:24:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (20:35:11) | ===> btop++ v.1.4.0
2025/01/07 (20:35:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (20:43:49) | ===> btop++ v.1.4.0
2025/01/07 (20:43:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:18:52) | ===> btop++ v.1.4.0
2025/01/10 (15:18:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:18:59) | ===> btop++ v.1.4.0
2025/01/10 (15:18:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:18:59) | ===> btop++ v.1.4.0
2025/01/10 (15:18:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:19:07) | ===> btop++ v.1.4.0
2025/01/10 (15:19:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (15:33:35) | ===> btop++ v.1.4.0
2025/01/10 (15:33:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (13:34:28) | ===> btop++ v.1.4.0
2025/01/30 (13:34:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (13:36:33) | ===> btop++ v.1.4.0
2025/01/30 (13:36:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (14:04:51) | ===> btop++ v.1.4.0
2025/02/06 (14:04:51) | WARNING: Intel GPU: Failed to initialize PMU
